id;direccion;latitud;longitud;nombre
548; ;-26799891386;-60837751129;Campo Largo - Terminal (Chaco - ARG)
549; ;-26953939600;-60968756700;Corzuela - Terminal (Chaco - ARG)
550; ;-27091862200;-61084395400;Las Bre\xc3\xb1as - Terminal (Chaco - ARG)
551; ;-27220746400;-61192050600;Charata - Terminal (Chaco - ARG)
552; ;-27329835300;-61286534100;General Pinedo - Terminal (Chaco - ARG)
555; ;-27644825000;-62413963100;Quimili - Terminal (Santiago del Estero - ARG)
558; ;-27916521400;-63887505400;Fernandez - Terminal (Santiago del Estero - ARG)
559; ;-27735332500;-64249731300;La Banda - Terminal (Santiago del Estero - ARG)
560; ;-27608351900;-61344695100;Hermoso Campo - Terminal (Chaco - ARG)
561; ;-27835625000;-61114525000;Santa Sylvina - Terminal (Chaco - ARG)
562; ;-28026303400;-61184363400;Gato Colorado - Agencia (Santa Fe - ARG)
564; ;-28622208900;-61623559000;Villa Minetti - Terminal (Santa Fe - ARG)
565; ;-29229189600;-61771659900;Tostado - Terminal (Santa Fe - ARG)
567; ;-33363671200;-60252542500;San Nicolas - Parador (Buenos Aires - ARG)
568; ; ;;Ciudadela (Gral Paz 201) (Buenos Aires - ARG)
570;Camino+Pres.+Juan+Domingo+Per%C3%B3n+5490%2C+Villa+Fiorito%2C+Buenos+Aires ;-34707651000;-58455184000;La Noria - Terminal (Buenos Aires - ARG)
577;Av.+Ernesto+Salva+1651+ ;-31241024715;-61505669769;Rafaela - Terminal (Santa Fe - ARG)
584; ;-27593186800;-56686373900;Ituzaingo - Terminal (Corrientes - ARG)
586; ;-29182646100;-58082217000;Mercedes - Terminal (Corrientes - ARG)
587; ;-28574402900;-58722052600;San Roque - Cruce (Corrientes - ARG)
588; ;-29175545700;-58856506300;Saladas - PETROBRAS (Corrientes - ARG)
590; ;-27953411300;-58794622400;Empedrado  - Parador Cacho (Corrientes - ARG)
591; ;-30756339600;-57988135800;Chajari - Terminal (Entre Rios - ARG)
593; ;-34806634000;-58442005800;Lavallol (Buenos Aires - ARG)
594; ;-34817182000;-58431864000;Loma Verde - SHELL (Buenos Aires - ARG)
595;Av.+Espora+3842 ;-34833103000;-58385650000;Burzaco - Ledefax Vapor (Buenos Aires - ARG)
596; ;-34835605900;-58401571500;Burzaco - Rotonda ESSO (Buenos Aires - ARG)
598; ;-34791461900;-58311567300;San Francisco Solano - Ledefax (Buenos Aires - ARG)
601; ;-31538931900;-68511600500;San Juan - Terminal (San Juan - ARG)
605; ;-25728989500;-59104213700;Pirane - Terminal (Formosa - ARG)
606; ;-29143760900;-59650307400;Reconquista - Terminal (Santa Fe - ARG)
607; ; ;;Malabrigo - Terminal (Santa Fe - ARG)
608; ; ;;Vera - SHELL (Santa Fe - ARG)
610; ;-28486180500;-59348139200;Villa Ocampo - Terminal (Santa Fe - ARG)
611; ;-28994027500;-59583706900;Las Toscas (Santa Fe - ARG)
612; ;-26537959400;-59339652700;General San Martin - Terminal (Chaco - ARG)
613; ;-26302379400;-59369709500;El Colorado - Agencia (Formosa - ARG)
614; ;-27882725000;-59278981000;Basail - Cruce (Chaco - ARG)
615; ;-26184628300;-59362800100;Villa Dos Trece - Terminal (Formosa - ARG)
